"track_album","track_name","track_popularity","track_duration","track_uri","track_artists","track_id"
"0L93smV9MjarVHPfB6vZia","Tailgate To Heaven (feat. Chris Lane)","58","185883","spotify:track:0tXjb5mxi1ALIaagFuWxkb","[{""S"":""72iCV78mmAfr5s4A5dhjYg""},{""S"":""68abRTdO4meYReMWHvBYb0""}]","0tXjb5mxi1ALIaagFuWxkb"
"5wn3rXI7ahFosQJmt14ZJ2","Heart on My Glass","39","190146","spotify:track:5z5u8Kp8bDkc3QSNhn7wpv","[{""S"":""5bQxLohAAiOat0EMYuHjzJ""}]","5z5u8Kp8bDkc3QSNhn7wpv"
"0It8BS2aYEgexa65TJbp18","Dirt Road Down","72","165920","spotify:track:5gTQD1FjKMqUisgSD0uyb1","[{""S"":""6CegFHnUqJcOBipgphZ2CJ""}]","5gTQD1FjKMqUisgSD0uyb1"
"5yMa7b6GWvPHTPijIDQVtJ","Love Is Real","52","162973","spotify:track:0pJLfGfCgmr0z9WRjwY7A3","[{""S"":""6fzQ81ouajOEFqCIB9VwrS""}]","0pJLfGfCgmr0z9WRjwY7A3"
"68Bd8NriH6kXs9oedITPkq","Never Leave Her (feat. Jacquees)","64","174482","spotify:track:3i9k5M8xkZZ7LFAeMZBT4m","[{""S"":""6BH1xcDkwbbyrLMUKECsW1""},{""S"":""4tMm1dU6Gn04VAZ9ClHcIZ""}]","3i9k5M8xkZZ7LFAeMZBT4m"
"6VPco7KjnuEdqol2GoyRJw","I'm Hot (feat. Chi Chi & Nick Papz)","49","133224","spotify:track:4MI8cQXM78e5DbgErePSL2","[{""S"":""5jJjvmEwRr8epuGZq4eUUa""},{""S"":""7eKWS1WFa1AQQJrjCdYywU""},{""S"":""7308EC1qDOKUFAZLWtlpLP""}]","4MI8cQXM78e5DbgErePSL2"
"4zxsqQuLQMHfG48BZI3A2Y","Wild Hearts","71","182930","spotify:track:0BQpyaFrb78b9uobWNheqx","[{""S"":""0u2FHSq3ln94y5Q57xazwf""}]","0BQpyaFrb78b9uobWNheqx"
"4YdoHez1RJ5NPlSgRraKfz","Tweet Bird (Never Broke Again feat. YoungBoy Never Broke Again, Rojay MLP, Meechy Baby, P Yungin, Rjae)","52","200301","spotify:track:6UZWeRythuGsvnqrwgcj2v","[{""S"":""5YyTs9tUWqcdI9kIQb85P2""},{""S"":""7wlFDEWiM5OoIAt8RSli8b""},{""S"":""555MqZGSQCqBmLLLFUjsPl""},{""S"":""6QtIrsfiHbIToOfsCllNxv""},{""S"":""2kxNIMdmDtVtHDAWluq0eN""},{""S"":""0PnrpdWmz1aJYJfNPUejmk""}]","6UZWeRythuGsvnqrwgcj2v"
"3uOOKcr91I3Br0Rtmu4zdT","Rockin' in the Free World","67","281853","spotify:track:4Y7fEQ4PAzhlLnLviRw2P4","[{""S"":""6v8FB84lnmJs434UJf2Mrm""}]","4Y7fEQ4PAzhlLnLviRw2P4"
"0McWOHhD5uSpbT4wRuTgpj","Hold On Loosely","68","280636","spotify:track:6i9dZZQWNB06HKsQYKTiPF","[{""S"":""3zXw2Eh96iTT51pytzHdZi""}]","6i9dZZQWNB06HKsQYKTiPF"
"1OnzqJTL9bwe4kvaLxRYxt","Kiss Me More (feat. SZA)","90","208866","spotify:track:748mdHapucXQri7IAO8yFK","[{""S"":""5cj0lLjcoR7YOSnhnX0Po5""},{""S"":""7tYKF4w9nC0nq9CsPZTHyP""}]","748mdHapucXQri7IAO8yFK"
"0PMasrHdpaoIRuHuhHp72O","Dancing In the Dark","80","241306","spotify:track:7FwBtcecmlpc1sLySPXeGE","[{""S"":""3eqjTLE0HfPfh78zjh6TqT""}]","7FwBtcecmlpc1sLySPXeGE"
"5dGWwsZ9iB2Xc3UKR0gif2","Ghost","91","153190","spotify:track:6I3mqTwhRpn34SLVafSH7G","[{""S"":""1uNFoZAHBGtllmzznpCI3s""}]","6I3mqTwhRpn34SLVafSH7G"
